Name,Artists,Release,Label,Track,Track Artists,Artist Genres,Time,Key,Major/Minor,Danceability,Instrumental,Spoken Word,Loudness DB,BPM
"Bad Brains","Bad Brains",1982-02-01,"ROIR","Sailin' On","Bad Brains",alternative rock;black punk;dc hardcore;hardcore punk;nyhc;punk;ska punk,1:55,A,Major,20%,Non-instrumental,Non-spoken,-12.416,82.025,
"Bad Brains","Bad Brains",1982-02-01,"ROIR","Don't Need It","Bad Brains",alternative rock;black punk;dc hardcore;hardcore punk;nyhc;punk;ska punk,1:07,D,Major,19%,Non-instrumental,Non-spoken,-10.627,168.482,
"Bad Brains","Bad Brains",1982-02-01,"ROIR","Attitude","Bad Brains",alternative rock;black punk;dc hardcore;hardcore punk;nyhc;punk;ska punk,1:19,A,Minor,18%,Non-instrumental,Non-spoken,-11.475,165.814,
"Bad Brains","Bad Brains",1982-02-01,"ROIR","The Regulator","Bad Brains",alternative rock;black punk;dc hardcore;hardcore punk;nyhc;punk;ska punk,1:07,B,Major,22%,Non-instrumental,Non-spoken,-13.623,166.219,
"Bad Brains","Bad Brains",1982-02-01,"ROIR","Banned In D.C.","Bad Brains",alternative rock;black punk;dc hardcore;hardcore punk;nyhc;punk;ska punk,2:12,A,Minor,14%,Instrumental,Non-spoken,-12.103,152.933,
"Bad Brains","Bad Brains",1982-02-01,"ROIR","Jah Calling","Bad Brains",alternative rock;black punk;dc hardcore;hardcore punk;nyhc;punk;ska punk,2:31,G,Major,81%,Non-instrumental,Non-spoken,-20.27,119.52,
"Bad Brains","Bad Brains",1982-02-01,"ROIR","Supertouch / Shitfit","Bad Brains",alternative rock;black punk;dc hardcore;hardcore punk;nyhc;punk;ska punk,2:30,E,Minor,17%,Non-instrumental,Non-spoken,-11.761,79.534,
"Bad Brains","Bad Brains",1982-02-01,"ROIR","Leaving Babylon","Bad Brains",alternative rock;black punk;dc hardcore;hardcore punk;nyhc;punk;ska punk,4:10,C,Major,73%,Non-instrumental,Non-spoken,-20.263,127.16,
"Bad Brains","Bad Brains",1982-02-01,"ROIR","Fearless Vampire Killers","Bad Brains",alternative rock;black punk;dc hardcore;hardcore punk;nyhc;punk;ska punk,1:07,G,Major,26%,Non-instrumental,Non-spoken,-12.892,82.78,
"Bad Brains","Bad Brains",1982-02-01,"ROIR","I","Bad Brains",alternative rock;black punk;dc hardcore;hardcore punk;nyhc;punk;ska punk,2:05,G,Major,28%,Non-instrumental,Non-spoken,-11.481,106.853,
"Bad Brains","Bad Brains",1982-02-01,"ROIR","Big Take Over","Bad Brains",alternative rock;black punk;dc hardcore;hardcore punk;nyhc;punk;ska punk,2:57,A,Minor,21%,Non-instrumental,Non-spoken,-11.653,104.343,
"Bad Brains","Bad Brains",1982-02-01,"ROIR","Pay To Cum","Bad Brains",alternative rock;black punk;dc hardcore;hardcore punk;nyhc;punk;ska punk,1:25,A,Major,13%,Non-instrumental,Non-spoken,-12.575,160.593,
"Bad Brains","Bad Brains",1982-02-01,"ROIR","Right Brigade","Bad Brains",alternative rock;black punk;dc hardcore;hardcore punk;nyhc;punk;ska punk,2:27,B,Major,25%,Instrumental,Non-spoken,-11.243,140.052,
"Bad Brains","Bad Brains",1982-02-01,"ROIR","I Luv I Jah","Bad Brains",alternative rock;black punk;dc hardcore;hardcore punk;nyhc;punk;ska punk,6:22,C,Major,66%,Non-instrumental,Non-spoken,-19.781,98.752,
"Bad Brains","Bad Brains",1982-02-01,"ROIR","Intro","Bad Brains",alternative rock;black punk;dc hardcore;hardcore punk;nyhc;punk;ska punk,0:45,C#/Db,Major,44%,Instrumental,Non-spoken,-15.576,79.241,
"Bad Brains","Bad Brains",1982-02-01,"ROIR","Bonus Track","Bad Brains",alternative rock;black punk;dc hardcore;hardcore punk;nyhc;punk;ska punk,2:10,C#/Db,Major,62%,Non-instrumental,Non-spoken,-15.732,79.297,
"Benji","Sun Kil Moon",2014-02-11,"Caldo Verde","Carissa","Sun Kil Moon",alternative rock;dream pop;freak folk;indie rock;modern folk rock;slowcore;stomp and holler,6:55,A#/Bb,Major,63%,Non-instrumental,Non-spoken,-11.031,97.204,
"Benji","Sun Kil Moon",2014-02-11,"Caldo Verde","I Can't Live Without My Mother's Love","Sun Kil Moon",alternative rock;dream pop;freak folk;indie rock;modern folk rock;slowcore;stomp and holler,3:58,G,Major,54%,Non-instrumental,Non-spoken,-11.303,146.849,
"Benji","Sun Kil Moon",2014-02-11,"Caldo Verde","Truck Driver","Sun Kil Moon",alternative rock;dream pop;freak folk;indie rock;modern folk rock;slowcore;stomp and holler,3:55,A#/Bb,Minor,47%,Non-instrumental,Non-spoken,-13.55,65.963,
"Benji","Sun Kil Moon",2014-02-11,"Caldo Verde","Dogs","Sun Kil Moon",alternative rock;dream pop;freak folk;indie rock;modern folk rock;slowcore;stomp and holler,5:36,D#/Eb,Minor,65%,Non-instrumental,Non-spoken,-8.241,117.828,
"Benji","Sun Kil Moon",2014-02-11,"Caldo Verde","Pray for Newtown","Sun Kil Moon",alternative rock;dream pop;freak folk;indie rock;modern folk rock;slowcore;stomp and holler,4:08,F,Minor,60%,Non-instrumental,Non-spoken,-7.268,79.654,
"Benji","Sun Kil Moon",2014-02-11,"Caldo Verde","Jim Wise","Sun Kil Moon",alternative rock;dream pop;freak folk;indie rock;modern folk rock;slowcore;stomp and holler,3:34,C,Major,59%,Non-instrumental,Non-spoken,-11.802,124.793,
"Benji","Sun Kil Moon",2014-02-11,"Caldo Verde","I Love My Dad","Sun Kil Moon",alternative rock;dream pop;freak folk;indie rock;modern folk rock;slowcore;stomp and holler,6:16,E,Major,85%,Non-instrumental,Non-spoken,-11.735,111.87,
"Benji","Sun Kil Moon",2014-02-11,"Caldo Verde","I Watched The Film The Song Remains the Same","Sun Kil Moon",alternative rock;dream pop;freak folk;indie rock;modern folk rock;slowcore;stomp and holler,10:30,E,Major,46%,Non-instrumental,Non-spoken,-14.423,123.027,
"Benji","Sun Kil Moon",2014-02-11,"Caldo Verde","Richard Ramirez Died Today of Natural Causes","Sun Kil Moon",alternative rock;dream pop;freak folk;indie rock;modern folk rock;slowcore;stomp and holler,5:35,F,Major,66%,Non-instrumental,Non-spoken,-7.507,81.23,
"Benji","Sun Kil Moon",2014-02-11,"Caldo Verde","Micheline","Sun Kil Moon",alternative rock;dream pop;freak folk;indie rock;modern folk rock;slowcore;stomp and holler,6:06,A,Major,70%,Non-instrumental,Non-spoken,-8.749,122.009,
"Benji","Sun Kil Moon",2014-02-11,"Caldo Verde","Ben's My Friend","Sun Kil Moon",alternative rock;dream pop;freak folk;indie rock;modern folk rock;slowcore;stomp and holler,5:16,D#/Eb,Major,69%,Non-instrumental,Non-spoken,-6.782,93.073,
"Finelines","My Vitriol",2001-01-01,"Epic","Alpha Waves","My Vitriol",nu gaze,2:10,E,Major,27%,Instrumental,Non-spoken,-5.43,94.34,
"Finelines","My Vitriol",2001-01-01,"Epic","Always: Your Way","My Vitriol",nu gaze,3:49,E,Major,28%,Non-instrumental,Non-spoken,-3.408,172.349,
"Finelines","My Vitriol",2001-01-01,"Epic","The Gentle Art Of Choking","My Vitriol",nu gaze,3:29,F#/Gb,Major,37%,Non-instrumental,Non-spoken,-2.895,162.09,
"Finelines","My Vitriol",2001-01-01,"Epic","Kohlstream","My Vitriol",nu gaze,0:26,C#/Db,Major,61%,Non-instrumental,Non-spoken,-7.785,107.723,
